# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  97 3.4995574039e-10 9.7061709227e-14 -2.8475718449e-12 0.0000000000e+00 1.1663735106e-11 1.6090592192e-12 -6.5952433259e-15
  98 3.5410507605e-10 9.9114166805e-14 -2.9371293266e-12 0.0000000000e+00 1.1359284207e-11 1.5745599293e-12 -6.5077532776e-15
  99 3.5836622334e-10 1.0115177655e-13 -3.0270145413e-12 0.0000000000e+00 1.1064999265e-11 1.5415340948e-12 -6.4048738792e-15
 100 3.6276121063e-10 1.0317233475e-13 -3.1170458355e-12 0.0000000000e+00 1.0780353109e-11 1.5097862134e-12 -6.3120582735e-15
 101 3.6724951122e-10 1.0517438880e-13 -3.2070736045e-12 0.0000000000e+00 1.0505046199e-11 1.4790394589e-12 -6.2313140525e-15
 102 3.7177060177e-10 1.0715670854e-13 -3.2969517523e-12 0.0000000000e+00 1.0238768435e-11 1.4489714372e-12 -6.1582475929e-15
 103 3.7625887385e-10 1.0911810127e-13 -3.3865275649e-12 0.0000000000e+00 9.9811132147e-12 1.4192261979e-12 -6.0880623058e-15
 104 3.8066360773e-10 1.1105724764e-13 -3.4756895903e-12 0.0000000000e+00 9.7316442482e-12 1.3895818480e-12 -6.0167727480e-15
 105 3.8501224080e-10 1.1297217995e-13 -3.5645188850e-12 0.0000000000e+00 9.4901129898e-12 1.3604811292e-12 -5.9450560087e-15
 106 3.8935544842e-10 1.1486073674e-13 -3.6531580874e-12 0.0000000000e+00 9.2562649020e-12 1.3325711599e-12 -5.8749037409e-15
 107 3.9374789852e-10 1.1672072276e-13 -3.7417656639e-12 0.0000000000e+00 9.0297698264e-12 1.3065422527e-12 -5.8084472525e-15
 108 3.9823386124e-10 1.1854980962e-13 -3.8304404878e-12 0.0000000000e+00 8.8102741404e-12 1.2828431041e-12 -5.7469243706e-15
 109 4.0280170437e-10 1.2034522278e-13 -3.9189835104e-12 0.0000000000e+00 8.5975700010e-12 1.2607821400e-12 -5.6874202782e-15
 110 4.0742361781e-10 1.2210401388e-13 -4.0071056789e-12 0.0000000000e+00 8.3914438587e-12 1.2393103340e-12 -5.6257059843e-15
 111 4.1206951463e-10 1.2382315579e-13 -4.0945006481e-12 0.0000000000e+00 8.1916221483e-12 1.2172945598e-12 -5.5572292814e-15
 112 4.1671416251e-10 1.2550008942e-13 -4.1809233766e-12 0.0000000000e+00 7.9978122117e-12 1.1938706094e-12 -5.4783311465e-15
 113 4.2135971261e-10 1.2713444444e-13 -4.2664379104e-12 0.0000000000e+00 7.8098347545e-12 1.1695568925e-12 -5.3900846654e-15
 114 4.2601591625e-10 1.2872653436e-13 -4.3512002415e-12 0.0000000000e+00 7.6275047651e-12 1.1452777777e-12 -5.2949272372e-15
 115 4.3069320682e-10 1.3027683251e-13 -4.4353825290e-12 0.0000000000e+00 7.4505889159e-12 1.1220225170e-12 -5.1954840176e-15
 116 4.3539986901e-10 1.3178537726e-13 -4.5191012151e-12 0.0000000000e+00 7.2788428103e-12 1.1006024349e-12 -5.0944504224e-15
 117 4.4013312593e-10 1.3324989645e-13 -4.6021906177e-12 0.0000000000e+00 7.1121308340e-12 1.0808860081e-12 -4.9942145389e-15
 118 4.4488698984e-10 1.3466746200e-13 -4.6844024195e-12 0.0000000000e+00 6.9503183354e-12 1.0624729813e-12 -4.8971964047e-15
 119 4.4965499924e-10 1.3603506768e-13 -4.7654752377e-12 0.0000000000e+00 6.7932332579e-12 1.0449295058e-12 -4.8059686056e-15
 120 4.5443020781e-10 1.3734962812e-13 -4.8451343769e-12 0.0000000000e+00 6.6406650921e-12 1.0277873797e-12 -4.7232593606e-15
 121 4.5920666279e-10 1.3860846059e-13 -4.9231434807e-12 0.0000000000e+00 6.4923988247e-12 1.0106489667e-12 -4.6510239831e-15
 122 4.6398405886e-10 1.3981079609e-13 -4.9994668430e-12 0.0000000000e+00 6.3483235050e-12 9.9351744349e-13 -4.5875299111e-15
 123 4.6876360924e-10 1.4095644366e-13 -5.0741256649e-12 0.0000000000e+00 6.2083344379e-12 9.7650384810e-13 -4.5299356659e-15
 124 4.7354660607e-10 1.4204532635e-13 -5.1471480269e-12 0.0000000000e+00 6.0722985681e-12 9.5972495174e-13 -4.4751875659e-15
 125 4.7833442149e-10 1.4307748424e-13 -5.2185690637e-12 0.0000000000e+00 5.9400537176e-12 9.4330335840e-13 -4.4200152376e-15
 126 4.8312778920e-10 1.4405277723e-13 -5.2884022883e-12 0.0000000000e+00 5.8114334018e-12 9.2733685189e-13 -4.3613094456e-15
 127 4.8792455553e-10 1.4496994970e-13 -5.3565495507e-12 0.0000000000e+00 5.6863460505e-12 9.1180233290e-13 -4.2973131117e-15
 128 4.9272167686e-10 1.4582746599e-13 -5.4228812569e-12 0.0000000000e+00 5.5647032802e-12 8.9664123823e-13 -4.2265561159e-15
 129 4.9751591229e-10 1.4662380184e-13 -5.4872642744e-12 0.0000000000e+00 5.4463945469e-12 8.8178919735e-13 -4.1474833491e-15
 130 5.0230381933e-10 1.4735744510e-13 -5.5495618906e-12 0.0000000000e+00 5.3312865755e-12 8.6717590128e-13 -4.0584530907e-15
 131 5.0708314273e-10 1.4802700582e-13 -5.6096700758e-12 0.0000000000e+00 5.2192428378e-12 8.5274755830e-13 -3.9589869976e-15
 132 5.1185715969e-10 1.4863155859e-13 -5.6676307892e-12 0.0000000000e+00 5.1101855772e-12 8.3853728192e-13 -3.8536761838e-15
 133 5.1663079831e-10 1.4917033873e-13 -5.7235308975e-12 0.0000000000e+00 5.0040394389e-12 8.2460209760e-13 -3.7486961939e-15
 134 5.2140929187e-10 1.4964263768e-13 -5.7774671779e-12 0.0000000000e+00 4.9007115947e-12 8.1100106344e-13 -3.6506002378e-15
 135 5.2619818426e-10 1.5004780446e-13 -5.8295465286e-12 0.0000000000e+00 4.8000913114e-12 7.9779529575e-13 -3.5663262546e-15
 136 5.3100048407e-10 1.5038538831e-13 -5.8798238992e-12 0.0000000000e+00 4.7020669498e-12 7.8502750819e-13 -3.5012529338e-15
 137 5.3580778101e-10 1.5065558014e-13 -5.9281083332e-12 0.0000000000e+00 4.6065798755e-12 7.7265816764e-13 -3.4531241179e-15
